DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments
006 - LIVER TRANSPLANT W/O MCC,MN,12,"$204,609.50 ","$51,270.00 ","$37,368.58 "
006 - LIVER TRANSPLANT W/O MCC,SC,12,"$233,830.67 ","$51,337.58 ","$34,758.42 "
006 - LIVER TRANSPLANT W/O MCC,NC,13,"$232,251.46 ","$38,974.46 ","$34,484.46 "
006 - LIVER TRANSPLANT W/O MCC,IN,14,"$483,341.50 ","$39,838.79 ","$36,932.57 "
006 - LIVER TRANSPLANT W/O MCC,OH,15,"$260,718.33 ","$57,737.27 ","$30,392.47 "
006 - LIVER TRANSPLANT W/O MCC,IL,16,"$318,006.56 ","$42,508.69 ","$39,456.44 "
006 - LIVER TRANSPLANT W/O MCC,TN,18,"$284,272.67 ","$49,143.61 ","$32,420.11 "
006 - LIVER TRANSPLANT W/O MCC,MD,19,"$129,031.16 ","$118,892.53 ","$117,438.37 "
006 - LIVER TRANSPLANT W/O MCC,MI,21,"$252,410.19 ","$58,246.29 ","$36,892.00 "
006 - LIVER TRANSPLANT W/O MCC,NY,23,"$376,225.30 ","$86,210.13 ","$48,705.87 "
006 - LIVER TRANSPLANT W/O MCC,MA,26,"$251,907.12 ","$52,863.04 ","$42,124.54 "
006 - LIVER TRANSPLANT W/O MCC,CA,28,"$482,425.18 ","$66,103.57 ","$54,775.86 "
006 - LIVER TRANSPLANT W/O MCC,FL,28,"$265,634.11 ","$40,567.93 ","$31,652.54 "
006 - LIVER TRANSPLANT W/O MCC,PA,34,"$408,374.50 ","$79,556.12 ","$35,903.00 "
006 - LIVER TRANSPLANT W/O MCC,TX,39,"$277,213.23 ","$49,201.13 ","$33,822.97 "
007 - LUNG TRANSPLANT,WA,13,"$635,236.54 ","$166,742.38 ","$145,532.54 "
007 - LUNG TRANSPLANT,OK,14,"$444,831.21 ","$67,133.07 ","$62,345.93 "
007 - LUNG TRANSPLANT,VA,16,"$561,286.75 ","$124,991.38 ","$105,672.56 "
007 - LUNG TRANSPLANT,NC,18,"$460,998.39 ","$90,537.39 ","$82,342.83 "
007 - LUNG TRANSPLANT,MD,20,"$185,836.65 ","$171,216.35 ","$170,033.35 "
007 - LUNG TRANSPLANT,MO,22,"$253,602.27 ","$73,557.32 ","$72,069.55 "
007 - LUNG TRANSPLANT,MI,23,"$333,874.43 ","$102,094.70 ","$73,729.52 "
007 - LUNG TRANSPLANT,MA,24,"$553,041.46 ","$128,508.96 ","$101,033.21 "
007 - LUNG TRANSPLANT,IL,29,"$483,920.21 ","$128,100.83 ","$81,157.10 "
007 - LUNG TRANSPLANT,MN,29,"$477,614.79 ","$136,872.31 ","$81,219.24 "
007 - LUNG TRANSPLANT,OH,33,"$451,395.94 ","$96,626.09 ","$70,614.30 "
007 - LUNG TRANSPLANT,FL,42,"$535,871.02 ","$106,016.62 ","$72,468.24 "
007 - LUNG TRANSPLANT,AZ,43,"$596,857.51 ","$86,441.05 ","$82,149.00 "
007 - LUNG TRANSPLANT,CA,58,"$693,822.69 ","$127,400.53 ","$117,951.55 "
007 - LUNG TRANSPLANT,PA,76,"$954,782.51 ","$122,131.41 ","$86,638.42 "
007 - LUNG TRANSPLANT,TX,99,"$456,968.80 ","$100,726.63 ","$72,830.78 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,IN,12,"$566,177.17 ","$48,807.67 ","$42,695.00 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,PA,13,"$619,953.85 ","$63,239.08 ","$40,313.31 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,LA,14,"$342,827.29 ","$54,343.93 ","$38,999.57 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,NC,14,"$283,082.57 ","$84,616.00 ","$24,274.93 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,WA,14,"$417,235.79 ","$80,888.07 ","$47,718.93 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,AZ,15,"$296,784.00 ","$58,768.07 ","$31,547.60 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,OH,19,"$375,930.58 ","$54,240.68 ","$40,073.79 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,GA,20,"$310,017.85 ","$50,967.75 ","$47,270.70 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,NY,22,"$367,052.32 ","$71,883.27 ","$61,020.95 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,MN,24,"$323,207.67 ","$75,069.33 ","$38,790.46 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,WI,25,"$342,518.60 ","$73,678.44 ","$39,398.00 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,IL,26,"$362,203.65 ","$72,501.42 ","$44,709.08 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,FL,28,"$419,201.25 ","$79,989.00 ","$44,097.50 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,CA,34,"$603,811.85 ","$70,262.00 ","$49,570.74 "
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,TX,38,"$372,349.55 ","$43,695.76 ","$37,861.32 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NM,11,"$107,035.73 ","$49,067.27 ","$43,878.64 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",AR,13,"$101,022.08 ","$32,098.77 ","$29,693.77 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MS,13,"$101,448.54 ","$30,562.62 ","$27,988.46 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",KS,15,"$117,587.13 ","$30,721.00 ","$29,864.20 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",UT,15,"$135,504.40 ","$47,251.80 ","$42,754.27 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",OR,17,"$131,271.65 ","$56,877.06 ","$44,145.71 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",AZ,21,"$133,058.24 ","$47,353.33 ","$32,724.38 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",CO,22,"$250,498.36 ","$43,752.95 ","$38,384.45 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",OK,24,"$279,324.83 ","$47,281.58 ","$44,430.29 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",IA,28,"$104,284.32 ","$36,541.93 ","$34,213.04 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",CT,29,"$140,591.48 ","$42,245.07 ","$34,205.38 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MN,31,"$129,849.55 ","$44,674.52 ","$38,875.65 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NJ,31,"$204,526.84 ","$41,449.39 ","$37,022.26 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",WI,31,"$121,308.90 ","$37,862.90 ","$33,962.06 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",AL,33,"$170,039.21 ","$36,764.21 ","$34,982.36 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MD,34,"$69,694.32 ","$64,268.18 ","$62,404.00 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",KY,35,"$108,022.37 ","$35,498.20 ","$28,337.46 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",GA,36,"$140,089.75 ","$38,084.19 ","$32,003.03 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",LA,41,"$141,037.02 ","$40,948.24 ","$35,140.44 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",IN,45,"$127,512.27 ","$35,035.09 ","$30,930.64 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",SC,47,"$164,909.21 ","$45,388.74 ","$40,167.32 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",VA,48,"$149,324.38 ","$50,159.79 ","$33,251.69 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",WA,48,"$188,163.71 ","$48,816.94 ","$41,628.31 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",TN,50,"$191,521.12 ","$40,109.32 ","$37,415.44 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MO,55,"$125,335.49 ","$37,623.96 ","$33,563.38 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MA,56,"$113,718.98 ","$47,221.30 ","$40,595.39 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NC,68,"$98,677.28 ","$37,509.07 ","$31,906.21 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MI,69,"$120,080.91 ","$43,689.81 ","$37,911.48 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",PA,80,"$247,969.80 ","$47,374.66 ","$38,414.23 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",OH,86,"$152,809.63 ","$40,716.78 ","$32,069.36 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",IL,94,"$166,262.91 ","$45,194.69 ","$38,178.06 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NY,101,"$220,870.31 ","$55,783.33 ","$49,800.23 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",FL,103,"$202,250.22 ","$39,194.14 ","$33,782.98 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",TX,109,"$186,178.07 ","$40,345.98 ","$35,063.87 "
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",CA,131,"$358,111.53 ","$67,659.56 ","$59,405.15 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",WV,11,"$97,027.55 ","$31,192.73 ","$26,762.36 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",UT,13,"$82,806.31 ","$27,529.00 ","$24,164.69 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",CO,15,"$215,988.27 ","$32,437.13 ","$28,485.20 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",NE,18,"$100,855.00 ","$26,024.67 ","$19,367.56 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",AZ,19,"$131,398.26 ","$40,626.32 ","$29,071.53 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",KS,21,"$164,829.90 ","$25,071.90 ","$21,039.14 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",OK,21,"$188,431.57 ","$28,787.00 ","$25,735.90 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",IA,22,"$83,178.14 ","$27,204.09 ","$25,308.36 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",WI,27,"$99,138.74 ","$32,418.30 ","$26,365.26 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",OR,28,"$124,694.32 ","$40,846.93 ","$35,463.14 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",AR,29,"$66,573.38 ","$24,250.31 ","$21,997.14 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",CT,29,"$124,811.72 ","$32,259.14 ","$29,786.21 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",SC,30,"$157,089.33 ","$43,737.30 ","$36,006.73 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",KY,31,"$134,252.48 ","$32,228.06 ","$25,641.52 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",MS,31,"$77,355.42 ","$25,883.55 ","$22,543.23 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",TN,32,"$145,866.28 ","$26,338.53 ","$23,121.91 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",WA,32,"$148,750.09 ","$48,741.00 ","$31,701.22 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",MN,38,"$83,728.45 ","$34,908.74 ","$28,087.71 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",NJ,39,"$148,664.46 ","$33,357.72 ","$28,434.64 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",VA,39,"$108,939.10 ","$30,330.87 ","$25,046.38 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",AL,44,"$111,025.89 ","$26,201.57 ","$19,495.57 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",IN,44,"$116,702.70 ","$27,516.23 ","$21,202.00 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",LA,49,"$108,138.57 ","$32,462.49 ","$26,770.31 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",MD,57,"$66,948.54 ","$61,979.75 ","$55,668.02 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",MO,57,"$97,612.14 ","$24,562.65 ","$22,495.30 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",MA,62,"$110,640.74 ","$37,476.00 ","$34,778.50 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",OH,70,"$144,344.79 ","$28,220.70 ","$24,887.63 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",GA,71,"$109,274.31 ","$26,742.07 ","$23,322.55 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",TX,76,"$121,362.82 ","$28,234.83 ","$22,953.80 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",NC,80,"$91,442.13 ","$30,881.50 ","$22,660.31 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",MI,83,"$84,963.88 ","$31,100.24 ","$25,304.80 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",NY,96,"$133,973.73 ","$36,578.94 ","$29,330.77 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",IL,99,"$124,594.25 ","$32,342.13 ","$26,799.96 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",FL,113,"$179,078.04 ","$27,460.44 ","$24,688.94 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",PA,116,"$200,029.49 ","$34,200.51 ","$25,506.13 "
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",CA,125,"$262,962.66 ","$47,793.90 ","$39,102.93 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",WI,11,"$60,949.36 ","$21,696.09 ","$14,592.73 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",SC,12,"$50,372.42 ","$15,081.17 ","$12,231.50 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",AR,13,"$51,801.85 ","$17,482.62 ","$14,787.31 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",KY,13,"$68,726.54 ","$17,724.77 ","$15,058.15 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",MA,13,"$63,010.08 ","$22,983.62 ","$20,728.15 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",TN,13,"$73,570.85 ","$17,130.15 ","$12,175.23 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",OK,14,"$91,137.43 ","$18,474.29 ","$13,305.21 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",GA,15,"$51,067.87 ","$16,486.13 ","$12,289.07 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",OH,15,"$86,701.07 ","$16,770.73 ","$14,177.27 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",OR,15,"$95,699.47 ","$28,890.33 ","$23,554.40 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",LA,16,"$86,747.94 ","$21,345.94 ","$16,078.81 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",MD,17,"$37,852.35 ","$34,896.82 ","$33,534.71 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",MI,17,"$71,376.47 ","$19,299.06 ","$16,598.24 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",AL,19,"$64,689.58 ","$13,953.53 ","$11,377.84 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",IN,19,"$80,972.63 ","$15,289.89 ","$13,370.11 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",WA,19,"$81,912.68 ","$22,607.37 ","$17,753.16 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",NJ,21,"$116,136.29 ","$22,256.95 ","$18,012.33 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",VA,24,"$84,723.92 ","$19,524.46 ","$15,059.29 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",NC,25,"$58,309.24 ","$18,657.80 ","$14,779.92 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",MN,26,"$59,162.35 ","$20,702.62 ","$18,177.42 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",MO,26,"$89,065.88 ","$18,456.08 ","$14,552.46 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",IL,29,"$84,923.03 ","$22,043.52 ","$19,513.76 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",NY,30,"$77,276.47 ","$24,222.83 ","$19,066.73 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",FL,38,"$163,242.05 ","$17,146.08 ","$15,569.71 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",TX,44,"$83,633.39 ","$18,081.30 ","$14,372.93 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",CA,45,"$180,327.47 ","$31,137.09 ","$23,826.87 "
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",PA,53,"$123,968.25 ","$20,221.23 ","$15,582.89 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,NE,12,"$231,045.58 ","$82,765.08 ","$79,809.58 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,UT,12,"$342,512.33 ","$120,397.33 ","$93,361.83 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,VA,12,"$353,435.00 ","$105,330.25 ","$91,366.67 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,WA,14,"$259,561.29 ","$119,275.50 ","$82,467.43 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,TN,15,"$305,225.93 ","$87,171.40 ","$78,043.40 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,FL,18,"$376,263.44 ","$103,390.78 ","$79,835.22 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,OR,18,"$206,646.39 ","$109,359.06 ","$100,744.94 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,IN,20,"$522,874.25 ","$108,207.70 ","$103,325.50 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,OH,20,"$524,779.15 ","$124,647.10 ","$112,715.45 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,NJ,22,"$379,551.18 ","$99,336.23 ","$95,215.82 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,AZ,24,"$345,364.92 ","$115,708.92 ","$77,396.50 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,GA,28,"$317,016.79 ","$109,713.00 ","$99,513.46 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,CO,32,"$676,823.13 ","$130,288.69 ","$104,153.00 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,MO,32,"$345,618.38 ","$105,391.63 ","$94,019.41 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,MN,34,"$411,008.00 ","$146,745.38 ","$102,005.03 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,MD,36,"$149,091.22 ","$137,400.00 ","$134,540.69 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,WI,37,"$324,237.59 ","$116,350.84 ","$101,139.65 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,IL,41,"$433,798.73 ","$124,342.29 ","$111,729.78 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,TX,42,"$436,523.74 ","$103,894.50 ","$85,724.02 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,MI,43,"$308,573.95 ","$100,690.70 ","$96,413.02 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,NC,46,"$312,145.70 ","$116,865.96 ","$94,028.80 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,PA,47,"$441,234.57 ","$120,037.32 ","$86,444.02 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,NY,53,"$514,417.91 ","$147,391.72 ","$124,217.89 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,CA,72,"$621,991.00 ","$158,179.17 ","$141,964.28 "
014 - ALLOGENEIC BONE MARROW TRANSPLANT,MA,99,"$387,160.56 ","$131,432.23 ","$121,806.43 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,DC,11,"$141,563.36 ","$57,174.27 ","$49,478.27 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,CT,14,"$223,750.93 ","$66,039.21 ","$49,564.00 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,MS,15,"$276,047.53 ","$71,822.80 ","$62,259.07 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,OK,15,"$285,801.60 ","$61,785.40 ","$46,581.53 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,NE,16,"$195,997.00 ","$63,400.00 ","$48,149.81 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,KY,18,"$211,381.06 ","$62,323.39 ","$41,984.17 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,SC,18,"$119,250.28 ","$45,768.33 ","$41,825.94 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,LA,20,"$253,427.65 ","$58,815.50 ","$48,368.35 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,MD,21,"$61,909.10 ","$57,282.48 ","$51,666.81 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,OR,26,"$169,534.38 ","$68,447.12 ","$54,357.23 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,UT,29,"$225,329.31 ","$72,344.62 ","$58,696.59 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,VA,33,"$227,360.45 ","$67,157.27 ","$54,349.73 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,WA,35,"$236,627.69 ","$66,309.17 ","$56,698.80 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,IA,36,"$208,141.25 ","$61,409.14 ","$49,478.58 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,AL,37,"$340,637.89 ","$59,568.70 ","$49,714.92 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,OH,39,"$232,829.85 ","$52,161.87 ","$45,715.08 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,IN,47,"$220,040.13 ","$54,050.36 ","$46,625.32 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,KS,47,"$195,620.66 ","$43,134.60 ","$40,030.23 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,TN,47,"$217,320.66 ","$47,783.89 ","$41,653.36 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,MN,48,"$146,091.19 ","$58,974.02 ","$50,815.75 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,AR,51,"$226,086.55 ","$68,819.08 ","$57,641.08 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,CO,51,"$371,618.78 ","$61,890.33 ","$50,373.45 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,AZ,52,"$174,427.46 ","$52,863.65 ","$40,296.90 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,FL,64,"$247,474.05 ","$63,609.80 ","$43,396.95 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,MI,65,"$178,658.37 ","$58,584.82 ","$53,348.45 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,MO,70,"$164,457.90 ","$47,686.91 ","$45,423.90 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,NC,72,"$148,229.17 ","$57,644.99 ","$44,438.04 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,MA,74,"$233,564.80 ","$71,942.55 ","$60,547.09 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,WI,76,"$171,973.30 ","$63,383.49 ","$44,725.13 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,GA,86,"$144,922.58 ","$57,792.49 ","$45,294.17 "
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,NJ,86,"$212,976.85 ","$52,390.50 ","$49,315.28 "
